ID,Title,Author,Date,Votes,Tags
41083,An option for Sepia mode in all webpages,,2019-10-02T08:43:15.416Z,0,,4,75
41097,no speed dial delay after closing the last tab,,2019-10-02T17:29:29.195Z,0,,2,26
41145,Option to arrange tabs by last used order,,2019-10-04T01:08:04.778Z,0,,1,20
41557,Show new tab page if private mode has no other tabs open,,2019-10-22T05:30:45.460Z,0,,1,18
41683,Sharing whole note as a text (dedicated option),,2019-10-28T07:37:28.348Z,0,,1,23
41805,Show both regular and private tabs on the same page in tab list,,2019-11-01T19:17:16.175Z,0,,1,17
42004,Private Mode with password setting and separate tabs,,2019-11-08T11:16:11.911Z,0,,1,39
42191,Show more autocomplete entries in Omnibox,,2019-11-15T16:15:24.361Z,0,,1,35
42196,Download all images on page,,2019-11-15T19:15:27.570Z,0,,1,34
42211,Open Vivaldi directly to search function,,2019-11-17T01:56:36.831Z,0,,2,34
42437,Replace "recent tabs" menu item with "panel view",,2019-11-29T10:19:24.318Z,0,,1,47
42498,Frisian Language,,2019-12-03T09:35:53.023Z,0,,1,44
42579,Samsung pass,,2019-12-07T19:16:54.064Z,0,,1,40
43252,Sync open tabs' history,,2020-01-05T14:20:53.950Z,0,,1,13
43485,disable search from address bar,,2020-01-15T22:26:50.904Z,0,,1,11
43664,Yubikey support,,2020-01-23T23:13:50.758Z,0,,1,13
43730,disable refresh on swipe down,,2020-01-26T17:48:25.732Z,0,,1,7
45008,Dashlane doesn't work on Android Vivaldi,,2020-03-18T06:23:21.917Z,0,,1,12
45022,Higher refresh rate,,2020-03-18T18:55:30.990Z,0,RESOLVED,3,19
45182,snapshot for Android does not support External web search,,2020-03-24T20:54:26.925Z,0,,1,13
45356,Get Tab Grid layout flag back(Option to change how tab switcher looks).,,2020-03-31T20:36:39.432Z,0,,3,22
45725,Expand / collapse folders,,2020-04-15T06:47:05.358Z,0,,1,12
