ID,Title,Author,Date,Votes,Tags
27460,Keep "+" Visible when Using Vertical Tabs,goedl,2018-05-17T09:17:07.985Z,14,TAB BAR:VERTICAL
25322,Push Tabs to Other Synced Devices,balvik,2018-02-21T21:28:58.100Z,14,TABS:SYNC
26559,Do not close tab group popup after closing a tab,cab404,2018-04-09T11:10:43.855Z,7,TAB STACKS:CLOSE TABS
31697,Visible Close Button for Tiled Tabs,Ornorm,2018-10-27T02:24:29.648Z,3,MOUSE:TILED TABS:CLOSE
31587,Open Link Outside of Tab stack,Ornorm,2018-10-24T16:36:00.437Z,1,TAB STACKS:LINKS
31532,Tab Preview on Videos and Thumbnail,notorious,2018-10-23T04:44:20.644Z,0,TABS:VIDEO:THUMBNAILS:PREVIEW
31549,Loading Class for Tabs,luetage,2018-10-23T14:43:52.519Z,11,TABS
26231,Vertical Tab Bar needs (Auto)Scroll to Active Tab Functions,dude99,2018-03-27T11:17:48.844Z,8,TAB BAR:SCROLLING:VERTICAL
31491,Marker/Highlighter for Active Tab on Tab Bar's Scrollbar,dude99,2018-10-21T20:21:24.195Z,4,TAB BAR:SCROLLBAR
31490,Add tabs opened in the background to recently used order,ntoivola,2018-10-21T20:14:04.752Z,0,TAB CYCLING:BACKGROUND TAB
31426,A Tab Stack Bar,hebgbs,2018-10-19T20:57:10.924Z,1,TAB STACKS
31418,Save Tiled Tabs as One Bookmark,bjarteao,2018-10-19T18:07:17.687Z,2,BOOKMARKS:TILING
25048,Centering Interface to the Webpage/ Tabs and Bookmark Bar Centering,Seasonly,2018-02-14T08:40:24.877Z,7,TABS:GUI:BOOKMARKS BAR
30970,Tile Tabs by Selection,Alkalin0,2018-10-07T09:10:12.837Z,1,TILING
31374,Copy URL of Tab Stack  Tab Selection,wailord,2018-10-18T10:07:26.473Z,4,TABS:TAB STACKS:SELECTION
31348,Upload indicator?,leien,2018-10-17T19:15:25.852Z,0,LOADING:UPLOADS:INDICATOR
31097,"Pause the page" or "Lightweight Reader mode",apil_ua,2018-10-10T18:33:42.750Z,3,READER VIEW
25969,Follower Tabs,chaswmsday,2018-03-17T17:58:18.619Z,30,TABS
31049,Tile Tab Stacks as Separate Tiles,shoust,2018-10-09T14:08:55.919Z,3,TAB STACKS:TILING
30873,Print Multiple Tabs,treyadcox,2018-10-04T20:51:36.641Z,2,TABS:PRINT
24151,Tab Stack Commands,LonM,2018-01-31T09:34:51.643Z,28,SHORTCUTS:TAB STACKS:MOUSE GESTURES
24340,Drag Tabs between Private Windows,AltCode,2018-01-31T21:32:05.487Z,9,TABS:DRAGANDDROP:PRIVATE WINDOW:MOVING
30834,Option to Show Webpage Icons in Tab-stack Previews,gmoss,2018-10-03T18:59:36.900Z,4,TAB STACKS:ICONS:PREVIEW
30790,Limit Number of Tabs Created from Another Tab,trendready,2018-10-02T19:58:45.018Z,0,TABS:LINKS
30756,Rename "Accent color from Active page" to "Adaptive Tabs Color" and place it under Tabs settings,rejzor,2018-10-02T08:54:37.288Z,0,
30704,Option to Use Existing Blank Tab When a Link Opens in a New Tab,drkh,2018-10-01T06:39:17.055Z,3,TABS:NEW TAB:LINKS
28593,Shortcuts to Tab-stacks -> Tab,fizch,2018-07-10T23:16:22.378Z,4,SHORTCUTS:TAB STACKS
30588,Independent Tab Bar Position per Window,GeeZuZz,2018-09-28T20:21:22.392Z,2,WINDOW:TAB BAR
30535,Option to close pinned tabs when closing a window,pafflick,2018-09-28T06:29:26.893Z,9,TABS:CLOSE TABS:PINNED TABS
30541,Enable toggling "Tab thumbnails" when "Show Tab Bar" is disabled,hunsharp,2018-09-28T07:48:13.384Z,0,TABS:SHORTCUTS:THUMBNAILS:TAB BAR
30324,Cast Icon on Tabs,Totto,2018-09-25T10:21:53.194Z,0,TABS:ICONS
29595,Close Tabs to Left/Right of Tab Stack,vulture,2018-08-25T11:25:38.771Z,1,TAB STACKS:CONTEXT MENU:CLOSE TABS
30249,Please allow tab-preview-on-hover to be bigger,SteveThackery,2018-09-22T22:15:24.196Z,1,THUMBNAILS:SIZE
30191,Option for Nested Tab Stacks,potmeklecbohdan,2018-09-20T17:08:54.680Z,5,TABS:TAB STACKS:TREE-STYLE
24395,Private Tabs,kurevska_registracia,2018-02-01T10:17:08.762Z,99,TABS:NICE TO HAVE:PRIVATE MODE
29960,Option to Place Vertical Tab Bar Outside of the Panels,aminought,2018-09-10T20:44:22.638Z,1,PANELS:TAB BAR
29888,Option to Position Close Button on the Right (Mac OS),pdxwill,2018-09-08T20:09:52.909Z,3,TABS:CLOSE TABS:MACOS
29845,Web Page preview,AltCode,2018-09-06T21:52:45.073Z,4,MAC:MACOS
29801,Make Resizing of Vertical Tab Bar Independent for each Window,Tinsmith,2018-09-05T07:07:24.307Z,4,TAB BAR:VERTICAL
29721,Make Tabs More Optically Distinct,DavidXanatos,2018-09-01T14:08:43.554Z,2,TABS:THEMES
29770,Make Mouse Button Actions on Tab Configurable,CheVe11e_191,2018-09-03T18:32:51.133Z,3,TABS:CONTEXT MENU:MOUSE
29709,Add Tab Context Menu Entry "Close Tabs by Host",npro,2018-08-31T10:52:41.817Z,4,CLOSE TABS
26422,Open Link as Tiled Tab Stack,andydelz,2018-04-03T08:17:38.033Z,3,TAB STACKS:TILING:LINKS
24808,Volume Mixer on Tabs,cyanwings,2018-02-07T12:40:27.835Z,14,TABS:VOLUME
29610,Option to Hide New Tab Button,potmeklecbohdan,2018-08-26T09:04:42.276Z,5,TABS:NEW TAB:BUTTON
29562,Vertical Title Text Display when Tab Bar is on the Side,KoneLinx,2018-08-23T21:03:55.904Z,0,TAB BAR:VERTICAL
29493,Home Button for Pinned Tabs Should Rewind to the First Page,haskell,2018-08-20T23:03:53.427Z,4,TABS:PINNED TABS:HOME PAGE
25581,Extended Tab Management,robert.rehammar,2018-03-02T09:19:50.187Z,12,TABS
29412,Fix Sound Indicators on Tab Stacks,bushwakko,2018-08-16T19:04:15.991Z,3,TAB STACKS:ICONS:MUTE
26728,Pinned Tiles,adamstributer,2018-04-16T15:57:01.839Z,3,TILING:PINNED TABS
27316,Large Tab Previews,mariospilot01,2018-05-10T12:50:14.596Z,3,THUMBNAILS:TAB BAR:PREVIEW
24536,Tab Profiles (Restrictions),becm,2018-02-02T11:05:51.572Z,0,TABS:SECURITY:PRIVATE MODE
28879,Option to Open Folders and Sites as Hibernated Tab Groups,dannyswift,2018-07-22T17:05:42.841Z,0,HIBERNATION:TAB GROUPS
28710,Shortcut to Switch to Particular Tab,robert.rehammar,2018-07-16T19:53:21.172Z,1,TABS:SHORTCUTS
28630,Hibernate Tabs that are Not Selected,ozoratsubasa,2018-07-12T06:35:30.914Z,3,TABS:HIBERNATE
28607,Move Tabs into Title bar of System Window,My1,2018-07-11T10:50:13.190Z,2,TABS:TITLE BAR
24129,Split Tab,Pesala,2018-01-31T09:21:49.805Z,12,TABS:TILING
28495,Open Video in Same Tab,Neophyte,2018-07-06T22:14:45.348Z,2,TABS:VIDEO
26105,Open previous page in new tab,alexander.schultz,2018-03-22T19:01:35.253Z,5,TABS
28296,Tab Nesting Supporting Horizontal Tabs,Dayanto,2018-06-30T02:10:26.816Z,10,TABS:TAB STACKS
28287,Possibility to keep tabs for later,Ornorm,2018-06-29T15:34:36.302Z,12,TABS
28251,Option to Show Tabs from All Windows in Tab Cycler,Pesala,2018-06-28T08:35:45.582Z,2,TABS:WINDOWS:TAB CYCLING
25259,Mark Tab as Important,qwer0,2018-02-20T08:06:35.715Z,9,TABS:HIGHLIGHT
28093,Move Tab to.... Submenu Options,rojaviv,2018-06-18T22:55:12.059Z,1,TABS:CONTEXT MENU:WINDOWS
25694,Option to Open Links in New Tab by Default,rafiki,2018-03-06T10:36:07.505Z,40,NEW TAB
27923,Different Keyboard Languages for Different Tabs,bong,2018-06-10T12:31:26.032Z,3,TABS:LANGUAGE
25979,Increase Width of the Most Used Tabs,Seasonly,2018-03-18T14:20:15.618Z,6,TABS
